Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,64
design__inferred_latch__count,0
design__instance__count,3264
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,37
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0014465793501585722
power__switching__total,0.0009199651540257037
power__leakage__total,1.822250510485901E-7
power__total,0.002366726752370596
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.29430056447070835
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.30602907185685585
timing__hold__ws__corner:nom_tt_025C_3v30,1.0488047394089994
timing__setup__ws__corner:nom_tt_025C_3v30,11.411986345588678
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.048805
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,11.411986
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,552
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.33772316454871265
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.35030487835341484
timing__hold__ws__corner:nom_ss_125C_3v00,2.3478091246790482
timing__setup__ws__corner:nom_ss_125C_3v00,-17.18122581726017
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-106.54558781259301
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-17.18122581726017
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.347809
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,10
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-17.181227
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,10
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.28095351840233573
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2899444377769382
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4934187642573457
timing__setup__ws__corner:nom_ff_n40C_3v60,23.481151909711333
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.493419
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,23.528740
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,659
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2778498343380667
clock__skew__worst_setup,0.28567951590722046
timing__hold__ws,0.49004590661314357
timing__setup__ws,-18.965899609856518
timing__hold__tns,0.0
timing__setup__tns,-119.8086215259594
timing__hold__wns,0
timing__setup__wns,-18.965899609856518
timing__hold_vio__count,0
timing__hold_r2r__ws,0.490046
timing__hold_r2r_vio__count,0
timing__setup_vio__count,31
timing__setup_r2r__ws,-18.965900
timing__setup_r2r_vio__count,31
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,2360
design__instance__area__stdcell,47607.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.916107
design__instance__utilization__stdcell,0.916107
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,15
design__instance__area__class:tie_cell,131.712
design__instance__count__class:buffer,3
design__instance__area__class:buffer,52.6848
design__instance__count__class:inverter,109
design__instance__area__class:inverter,992.23
design__instance__count__class:sequential_cell,99
design__instance__area__class:sequential_cell,6557.06
design__instance__count__class:multi_input_combinational_cell,1562
design__instance__area__class:multi_input_combinational_cell,33424.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,8208.39
design__instance__displacement__mean,3.478
design__instance__displacement__max,72.8
route__wirelength__estimated,77109.7
design__violations,0
design__instance__count__class:timing_repair_buffer,120
design__instance__area__class:timing_repair_buffer,3398.17
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,26
design__instance__area__class:clock_buffer,1181.02
design__instance__count__setup_buffer,11
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,156
global_route__vias,15964
global_route__wirelength,137676
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1944
route__net__special,2
route__drc_errors__iter:0,720
route__wirelength__iter:0,87503
route__drc_errors__iter:1,254
route__wirelength__iter:1,86152
route__drc_errors__iter:2,217
route__wirelength__iter:2,85406
route__drc_errors__iter:3,9
route__wirelength__iter:3,85268
route__drc_errors__iter:4,5
route__wirelength__iter:4,85269
route__drc_errors__iter:5,5
route__wirelength__iter:5,85269
route__drc_errors__iter:6,0
route__wirelength__iter:6,85279
route__drc_errors,0
route__wirelength,85279
route__vias,14115
route__vias__singlecut,14115
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
