Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3020
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0031479636672884226
power__switching__total,0.0013665793230757117
power__leakage__total,1.3926748465564742E-7
power__total,0.0045146821066737175
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2961166673457531
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2961166673457531
timing__hold__ws__corner:nom_tt_025C_3v30,1.0428199710031942
timing__setup__ws__corner:nom_tt_025C_3v30,6.075691233201353
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.042820
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.901339
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,132
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3313482637610205
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3313482637610205
timing__hold__ws__corner:nom_ss_125C_3v00,2.356136685777676
timing__setup__ws__corner:nom_ss_125C_3v00,-3.3689034737658177
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-97.35485937415172
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-3.3689034737658177
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.356137
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,88
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-2.070193
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,35
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2805560030371262
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2805560030371262
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4623529467928931
timing__setup__ws__corner:nom_ff_n40C_3v60,10.113161261342178
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.462353
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,149
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.27729100356281683
clock__skew__worst_setup,0.27729100356281683
timing__hold__ws,0.45838067972074337
timing__setup__ws,-4.086485931975079
timing__hold__tns,0.0
timing__setup__tns,-149.14448764815788
timing__hold__wns,0
timing__setup__wns,-4.086485931975079
timing__hold_vio__count,0
timing__hold_r2r__ws,0.458381
timing__hold_r2r_vio__count,0
timing__setup_vio__count,260
timing__setup_r2r__ws,-2.563468
timing__setup_r2r_vio__count,106
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1421
design__instance__area__stdcell,28127.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.54125
design__instance__utilization__stdcell,0.54125
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,16
design__instance__area__class:tie_cell,140.493
design__instance__count__class:inverter,105
design__instance__area__class:inverter,952.717
design__instance__count__class:sequential_cell,132
design__instance__area__class:sequential_cell,8517.38
design__instance__count__class:multi_input_combinational_cell,646
design__instance__area__class:multi_input_combinational_cell,13713.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,329.921
design__instance__displacement__mean,0.232
design__instance__displacement__max,13.44
route__wirelength__estimated,30824
design__violations,0
design__instance__count__class:timing_repair_buffer,67
design__instance__area__class:timing_repair_buffer,1699.08
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,29
design__instance__area__class:clock_buffer,1233.7
design__instance__count__setup_buffer,5
design__instance__count__hold_buffer,0
global_route__vias,7187
global_route__wirelength,54490
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1002
route__net__special,2
route__drc_errors__iter:0,136
route__wirelength__iter:0,33423
route__drc_errors__iter:1,17
route__wirelength__iter:1,33171
route__drc_errors__iter:2,13
route__wirelength__iter:2,33047
route__drc_errors__iter:3,1
route__wirelength__iter:3,33052
route__drc_errors__iter:4,1
route__wirelength__iter:4,33052
route__drc_errors__iter:5,0
route__wirelength__iter:5,33053
route__drc_errors,0
route__wirelength,33053
route__vias,6189
route__vias__singlecut,6189
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,592.83
design__instance__count__class:fill_cell,1599
design__instance__area__class:fill_cell,23839.9
timing__unannotated_net__count__corner:nom_tt_025C_3v30,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,21
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
