Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,79
design__inferred_latch__count,0
design__instance__count,19336
design__instance__area,339442
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,86
design__max_cap_violation__count__corner:nom_tt_025C_3v30,23
power__internal__total,0.014624101109802723
power__switching__total,0.004392093047499657
power__leakage__total,0.0000011759594826799002
power__total,0.01901737041771412
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3078517250479311
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3102806710499013
timing__hold__ws__corner:nom_tt_025C_3v30,1.0612502288447274
timing__setup__ws__corner:nom_tt_025C_3v30,8.373201036193382
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.061250
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,21.631102
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,0
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,86
design__max_cap_violation__count__corner:nom_ss_125C_3v00,23
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.39730350689487376
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.4043605287281873
timing__hold__ws__corner:nom_ss_125C_3v00,2.354264405615997
timing__setup__ws__corner:nom_ss_125C_3v00,3.188724929914394
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.354264
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,3.918892
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,86
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,23
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2681196174304576
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.26921973745667216
timing__hold__ws__corner:nom_ff_n40C_3v60,0.5119880220254932
timing__setup__ws__corner:nom_ff_n40C_3v60,10.597104826927882
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.511988
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,29.173561
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,3
design__max_fanout_violation__count,86
design__max_cap_violation__count,38
clock__skew__worst_hold,-0.25921640567728105
clock__skew__worst_setup,0.2591826548963779
timing__hold__ws,0.5101175182207033
timing__setup__ws,2.4346676475117293
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.510118
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.434668
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1075.76 325.36
design__core__bbox,3.36 3.92 1072.4 321.44
design__io,45
design__die__area,350009
design__core__area,339442
design__instance__count__stdcell,12408
design__instance__area__stdcell,301052
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.886903
design__instance__utilization__stdcell,0.886903
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,154629
design__sites:GF018hv5v_mcu_sc7,154629
design__instance__count__class:tie_cell,11
design__instance__area__class:tie_cell,96.5888
design__instance__count__class:buffer,868
design__instance__area__class:buffer,13259
design__instance__count__class:inverter,1006
design__instance__area__class:inverter,8969.59
design__instance__count__class:sequential_cell,1762
design__instance__area__class:sequential_cell,120211
design__instance__count__class:multi_input_combinational_cell,5539
design__instance__area__class:multi_input_combinational_cell,125366
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,2245
design__instance__area__class:tap_cell,9856.45
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,27.44
design__instance__displacement__mean,0.002
design__instance__displacement__max,14
route__wirelength__estimated,424233
design__violations,0
design__instance__count__class:timing_repair_buffer,631
design__instance__area__class:timing_repair_buffer,15004.2
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,138
design__instance__area__class:clock_buffer,6730.48
design__instance__count__class:clock_inverter,43
design__instance__area__class:clock_inverter,834.176
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,59
global_route__wirelength,769230
flow__warnings__count:GRT-0115,2
flow__warnings__count:GRT-0704,2
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
antenna_diodes_count,3
route__net,9932
route__net__special,2
route__drc_errors__iter:0,157
route__wirelength__iter:0,503205
route__drc_errors__iter:1,21
route__wirelength__iter:1,503144
route__drc_errors__iter:2,16
route__wirelength__iter:2,503127
route__drc_errors__iter:3,0
route__wirelength__iter:3,503167
route__drc_errors__iter:4,1
route__wirelength__iter:4,503601
route__drc_errors__iter:5,1
route__wirelength__iter:5,503604
route__drc_errors__iter:6,0
route__wirelength__iter:6,503597
route__drc_errors,0
route__wirelength,503167
route__vias,67482
route__vias__singlecut,67482
route__vias__multicut,0
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,13.1712
