Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,5939
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,18
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.005706629250198603
power__switching__total,0.0024137883447110653
power__leakage__total,2.6307907319278456E-7
power__total,0.00812068022787571
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3380435749226813
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3146849259131501
timing__hold__ws__corner:nom_tt_025C_3v30,0.9501750766248198
timing__setup__ws__corner:nom_tt_025C_3v30,7.391599541655514
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.950175
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,9.192577
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,181
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,18
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.4134981085684906
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3717783686138166
timing__hold__ws__corner:nom_ss_125C_3v00,2.187120324531522
timing__setup__ws__corner:nom_ss_125C_3v00,-1.6547208516210201
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-33.79866437945914
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-1.6547208516210201
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.187120
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,58
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-1.654721
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,29
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,18
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.304008021805669
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2894728705338918
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4222098346000793
timing__setup__ws__corner:nom_ff_n40C_3v60,11.009964807039347
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.422210
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,13.967930
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,216
design__max_fanout_violation__count,18
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2979304387523802
clock__skew__worst_setup,0.2846292448962213
timing__hold__ws,0.41967730478698206
timing__setup__ws,-2.0195365951168616
timing__hold__tns,0.0
timing__setup__tns,-59.814540791204905
timing__hold__wns,0
timing__setup__wns,-2.0195365951168616
timing__hold_vio__count,0
timing__hold_r2r__ws,0.419677
timing__hold_r2r_vio__count,0
timing__setup_vio__count,178
timing__setup_r2r__ws,-2.019536
timing__setup_r2r_vio__count,83
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,2722
design__instance__area__stdcell,52272.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.484309
design__instance__utilization__stdcell,0.484309
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,19
design__instance__area__class:tie_cell,166.835
design__instance__count__class:buffer,13
design__instance__area__class:buffer,228.301
design__instance__count__class:inverter,240
design__instance__area__class:inverter,2146.91
design__instance__count__class:sequential_cell,277
design__instance__area__class:sequential_cell,17708.7
design__instance__count__class:multi_input_combinational_cell,1106
design__instance__area__class:multi_input_combinational_cell,22516.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,73.0815
design__instance__displacement__mean,0.0265
design__instance__displacement__max,8.4
route__wirelength__estimated,59515.2
design__violations,0
design__instance__count__class:timing_repair_buffer,161
design__instance__area__class:timing_repair_buffer,3683.55
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,34
design__instance__area__class:clock_buffer,1927.39
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,87.808
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,0
global_route__vias,13419
global_route__wirelength,106268
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1859
route__net__special,2
route__drc_errors__iter:0,335
route__wirelength__iter:0,65727
route__drc_errors__iter:1,74
route__wirelength__iter:1,65290
route__drc_errors__iter:2,69
route__wirelength__iter:2,65202
route__drc_errors__iter:3,0
route__wirelength__iter:3,65145
route__drc_errors,0
route__wirelength,65145
route__vias,11693
route__vias__singlecut,11693
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,410.27
design__instance__count__class:fill_cell,3217
design__instance__area__class:fill_cell,55659.3
timing__unannotated_net__count__corner:nom_tt_025C_3v30,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,28
