Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2319
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.006506496109068394
power__switching__total,0.0022602600511163473
power__leakage__total,1.2695143425389688E-7
power__total,0.008766883052885532
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2726931813097501
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.27238975734853865
timing__hold__ws__corner:nom_tt_025C_3v30,0.9984288123311142
timing__setup__ws__corner:nom_tt_025C_3v30,7.79204633982218
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.998429
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,17.484148
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,33
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.2942477178532416
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.2939437387805021
timing__hold__ws__corner:nom_ss_125C_3v00,2.290041776583375
timing__setup__ws__corner:nom_ss_125C_3v00,-0.3665938767423702
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-0.8953336103709932
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-0.3665938767423702
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.290042
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,6
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-0.366594
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,1
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.26327321623514705
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.26296868205087953
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4617568680341136
timing__setup__ws__corner:nom_ff_n40C_3v60,11.184055775829977
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.461757
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,18.480774
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,33
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26198730038050677
clock__skew__worst_setup,0.2617167945329064
timing__hold__ws,0.46051341821136627
timing__setup__ws,-0.8372360819384583
timing__hold__tns,0.0
timing__setup__tns,-3.5958099737776417
timing__hold__wns,0
timing__setup__wns,-0.8372360819384583
timing__hold_vio__count,0
timing__hold_r2r__ws,0.460513
timing__hold_r2r_vio__count,0
timing__setup_vio__count,20
timing__setup_r2r__ws,-0.837236
timing__setup_r2r_vio__count,3
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1103
design__instance__area__stdcell,28820.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.554598
design__instance__utilization__stdcell,0.554598
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,15
design__instance__area__class:tie_cell,131.712
design__instance__count__class:buffer,33
design__instance__area__class:buffer,439.04
design__instance__count__class:inverter,20
design__instance__area__class:inverter,180.006
design__instance__count__class:sequential_cell,155
design__instance__area__class:sequential_cell,11617
design__instance__count__class:multi_input_combinational_cell,298
design__instance__area__class:multi_input_combinational_cell,7795.16
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,26178.4
design__violations,0
design__instance__count__class:timing_repair_buffer,100
design__instance__area__class:timing_repair_buffer,2129.34
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,56
design__instance__area__class:clock_buffer,4658.21
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,5435
global_route__wirelength,46099
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,689
route__net__special,2
route__drc_errors__iter:0,78
route__wirelength__iter:0,28198
route__drc_errors__iter:1,6
route__wirelength__iter:1,28045
route__drc_errors__iter:2,10
route__wirelength__iter:2,27903
route__drc_errors__iter:3,0
route__wirelength__iter:3,27893
route__drc_errors,0
route__wirelength,27893
route__vias,4438
route__vias__singlecut,4438
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,465.5
design__instance__count__class:fill_cell,1216
design__instance__area__class:fill_cell,23146.2
timing__unannotated_net__count__corner:nom_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,20
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,20
