Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2353
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0014537094393745065
power__switching__total,0.0003978262247983366
power__leakage__total,9.54683656573252E-8
power__total,0.0018516310956329107
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2583369979946041
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2578782538278548
timing__hold__ws__corner:nom_tt_025C_3v30,1.1025860536666283
timing__setup__ws__corner:nom_tt_025C_3v30,4.422671243302163
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.102586
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,7.401266
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,33
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.26786326692682155
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.26740474480468346
timing__hold__ws__corner:nom_ss_125C_3v00,2.4557203632338975
timing__setup__ws__corner:nom_ss_125C_3v00,-6.771101204714141
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-71.56305972589259
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-6.771101204714141
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.455720
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,21
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-5.105452
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,16
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2538883897202671
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2534753312322732
timing__hold__ws__corner:nom_ff_n40C_3v60,0.521522284563714
timing__setup__ws__corner:nom_ff_n40C_3v60,9.168795759924922
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.521522
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,54
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2536483039844018
clock__skew__worst_setup,0.2534294790200594
timing__hold__ws,0.5139980808684254
timing__setup__ws,-7.122988622767188
timing__hold__tns,0.0
timing__setup__tns,-77.65142348914463
timing__hold__wns,0
timing__setup__wns,-7.122988622767188
timing__hold_vio__count,0
timing__hold_r2r__ws,0.513998
timing__hold_r2r_vio__count,0
timing__setup_vio__count,63
timing__setup_r2r__ws,-5.408392
timing__setup_r2r_vio__count,48
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1023
design__instance__area__stdcell,17153.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.330081
design__instance__utilization__stdcell,0.330081
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,17
design__instance__area__class:tie_cell,149.274
design__instance__count__class:buffer,5
design__instance__area__class:buffer,127.322
design__instance__count__class:inverter,40
design__instance__area__class:inverter,368.794
design__instance__count__class:sequential_cell,52
design__instance__area__class:sequential_cell,3431.1
design__instance__count__class:multi_input_combinational_cell,433
design__instance__area__class:multi_input_combinational_cell,9050.81
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,398.824
design__instance__displacement__mean,0.3895
design__instance__displacement__max,13.44
route__wirelength__estimated,16390
design__violations,0
design__instance__count__class:timing_repair_buffer,37
design__instance__area__class:timing_repair_buffer,1097.6
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,13
design__instance__area__class:clock_buffer,1058.09
design__instance__count__setup_buffer,5
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,146
global_route__vias,4152
global_route__wirelength,29668
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,612
route__net__special,2
route__drc_errors__iter:0,55
route__wirelength__iter:0,17495
route__drc_errors__iter:1,7
route__wirelength__iter:1,17221
route__drc_errors__iter:2,6
route__wirelength__iter:2,17242
route__drc_errors__iter:3,0
route__wirelength__iter:3,17247
route__drc_errors,0
route__wirelength,17247
route__vias,3573
route__vias__singlecut,3573
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,341.34
design__instance__count__class:fill_cell,1330
design__instance__area__class:fill_cell,34813.7
timing__unannotated_net__count__corner:nom_tt_025C_3v30,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,21
