Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,5734
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,13
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.003941370639950037
power__switching__total,0.0013778433203697205
power__leakage__total,3.0154163255247113E-7
power__total,0.005319515708833933
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.27746036809001334
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2802482492059962
timing__hold__ws__corner:nom_tt_025C_3v30,0.5827298808430901
timing__setup__ws__corner:nom_tt_025C_3v30,4.849917937862814
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.582730
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,4.849918
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,329
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,13
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.298704597289346
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3033870740504345
timing__hold__ws__corner:nom_ss_125C_3v00,1.464998164246177
timing__setup__ws__corner:nom_ss_125C_3v00,-10.594318611146484
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-330.03576983255283
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-10.594318611146484
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.464998
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,93
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-10.594318
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,76
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,13
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.26840999627076073
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2692783017228774
timing__hold__ws__corner:nom_ff_n40C_3v60,0.21515390078536067
timing__setup__ws__corner:nom_ff_n40C_3v60,10.705466149909645
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.215154
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,11.324151
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,372
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26634120662816485
clock__skew__worst_setup,0.26756878026121106
timing__hold__ws,0.21512991996735056
timing__setup__ws,-11.16920632041104
timing__hold__tns,0.0
timing__setup__tns,-378.8145584437515
timing__hold__wns,0
timing__setup__wns,-11.16920632041104
timing__hold_vio__count,0
timing__hold_r2r__ws,0.215130
timing__hold_r2r_vio__count,0
timing__setup_vio__count,280
timing__setup_r2r__ws,-11.169207
timing__setup_r2r_vio__count,231
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3575
design__instance__area__stdcell,74373.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.68908
design__instance__utilization__stdcell,0.68908
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,21
design__instance__area__class:tie_cell,184.397
design__instance__count__class:buffer,3
design__instance__area__class:buffer,52.6848
design__instance__count__class:inverter,118
design__instance__area__class:inverter,1071.26
design__instance__count__class:sequential_cell,206
design__instance__area__class:sequential_cell,15612.3
design__instance__count__class:multi_input_combinational_cell,2036
design__instance__area__class:multi_input_combinational_cell,43895.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,9850.97
design__instance__displacement__mean,2.7555
design__instance__displacement__max,39.2
route__wirelength__estimated,92727.8
design__violations,0
design__instance__count__class:timing_repair_buffer,295
design__instance__area__class:timing_repair_buffer,8350.54
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,20
design__instance__area__class:clock_buffer,1220.53
design__instance__count__class:clock_inverter,9
design__instance__area__class:clock_inverter,180.006
design__instance__count__setup_buffer,41
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,125
global_route__vias,20305
global_route__wirelength,162363
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2715
route__net__special,2
route__drc_errors__iter:0,653
route__wirelength__iter:0,101280
route__drc_errors__iter:1,236
route__wirelength__iter:1,100401
route__drc_errors__iter:2,241
route__wirelength__iter:2,99851
route__drc_errors__iter:3,24
route__wirelength__iter:3,99785
route__drc_errors__iter:4,0
route__wirelength__iter:4,99772
route__drc_errors,0
route__wirelength,99772
route__vias,17890
route__vias__singlecut,17890
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,444.23
design__instance__count__class:fill_cell,2159
design__instance__area__class:fill_cell,33558
timing__unannotated_net__count__corner:nom_tt_025C_3v30,26
