Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,7439
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,55
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.09823226928710938
power__switching__total,0.11123242974281311
power__leakage__total,3.6373165812619845E-7
power__total,0.20946505665779114
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.25805777689601395
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.277682745768135
timing__hold__ws__corner:nom_tt_025C_3v30,4.937879578323961
timing__setup__ws__corner:nom_tt_025C_3v30,17.548683003450908
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,4.937880
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,17.548683
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,456
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.26409916667767636
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.30171485608345056
timing__hold__ws__corner:nom_ss_125C_3v00,10.147063032580938
timing__setup__ws__corner:nom_ss_125C_3v00,-24.906243106208713
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-97.84886422516034
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-24.906243106208713
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,10.147063
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,4
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-24.906242
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,4
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2554167782903431
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2669928520508984
timing__hold__ws__corner:nom_ff_n40C_3v60,2.719540447590866
timing__setup__ws__corner:nom_ff_n40C_3v60,35.52702410594015
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,2.719540
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,35.527023
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,564
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2550177641240079
clock__skew__worst_setup,0.26459615802870573
timing__hold__ws,2.666057672313002
timing__setup__ws,-27.736377535347003
timing__hold__tns,0.0
timing__setup__tns,-109.0489294174582
timing__hold__wns,0
timing__setup__wns,-27.736377535347003
timing__hold_vio__count,0
timing__hold_r2r__ws,2.666058
timing__hold_r2r_vio__count,0
timing__setup_vio__count,12
timing__setup_r2r__ws,-27.736378
timing__setup_r2r_vio__count,12
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,4282
design__instance__area__stdcell,83852.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.776903
design__instance__utilization__stdcell,0.776903
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,26
design__instance__area__class:tie_cell,228.301
design__instance__count__class:inverter,152
design__instance__area__class:inverter,1418.1
design__instance__count__class:sequential_cell,28
design__instance__area__class:sequential_cell,2173.25
design__instance__count__class:multi_input_combinational_cell,2835
design__instance__area__class:multi_input_combinational_cell,67133.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4090.55
design__instance__displacement__mean,0.955
design__instance__displacement__max,46.48
route__wirelength__estimated,137065
design__violations,0
design__instance__count__class:timing_repair_buffer,368
design__instance__area__class:timing_repair_buffer,8526.16
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,6
design__instance__area__class:clock_buffer,566.362
design__instance__count__setup_buffer,19
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,82
global_route__vias,24350
global_route__wirelength,213822
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3433
route__net__special,2
route__drc_errors__iter:0,851
route__wirelength__iter:0,143500
route__drc_errors__iter:1,251
route__wirelength__iter:1,142075
route__drc_errors__iter:2,223
route__wirelength__iter:2,141773
route__drc_errors__iter:3,5
route__wirelength__iter:3,141560
route__drc_errors__iter:4,0
route__wirelength__iter:4,141567
route__drc_errors,0
route__wirelength,141567
route__vias,22049
route__vias__singlecut,22049
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,700.96
design__instance__count__class:fill_cell,3157
design__instance__area__class:fill_cell,24079.1
timing__unannotated_net__count__corner:nom_tt_025C_3v30,11
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,11
