Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,19
design__inferred_latch__count,0
design__instance__count,4443
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,11
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.002823459217324853
power__switching__total,0.0014551290078088641
power__leakage__total,1.856067797234573E-7
power__total,0.004278773907572031
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.28583466957929987
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.28823030888958934
timing__hold__ws__corner:nom_tt_025C_3v30,1.0054010131229476
timing__setup__ws__corner:nom_tt_025C_3v30,5.342750393324273
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.005401
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,5.342751
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,131
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.32072143071336606
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3300879385478216
timing__hold__ws__corner:nom_ss_125C_3v00,2.281924047642336
timing__setup__ws__corner:nom_ss_125C_3v00,-9.389051579741938
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-279.96464605700396
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-9.389051579741938
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.281924
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,57
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-9.389051
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,46
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.27029404479683417
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.27079680930775485
timing__hold__ws__corner:nom_ff_n40C_3v60,0.45974048091976205
timing__setup__ws__corner:nom_ff_n40C_3v60,10.219538393678212
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.459740
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,11.398722
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,193
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.26806682632414364
clock__skew__worst_setup,0.2685270692920185
timing__hold__ws,0.45726035363490913
timing__setup__ws,-9.78727526726122
timing__hold__tns,0.0
timing__setup__tns,-300.7511764756169
timing__hold__wns,0
timing__setup__wns,-9.78727526726122
timing__hold_vio__count,0
timing__hold_r2r__ws,0.457260
timing__hold_r2r_vio__count,0
timing__setup_vio__count,168
timing__setup_r2r__ws,-9.787275
timing__setup_r2r_vio__count,137
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,2021
design__instance__area__stdcell,34203.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.3169
design__instance__utilization__stdcell,0.3169
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,18
design__instance__area__class:tie_cell,158.054
design__instance__count__class:buffer,6
design__instance__area__class:buffer,184.397
design__instance__count__class:inverter,80
design__instance__area__class:inverter,816.614
design__instance__count__class:sequential_cell,105
design__instance__area__class:sequential_cell,6833.66
design__instance__count__class:multi_input_combinational_cell,837
design__instance__area__class:multi_input_combinational_cell,18874.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1136.53
design__instance__displacement__mean,0.562
design__instance__displacement__max,15.12
route__wirelength__estimated,37851.1
design__violations,0
design__instance__count__class:timing_repair_buffer,84
design__instance__area__class:timing_repair_buffer,2383.99
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,24
design__instance__area__class:clock_buffer,1145.89
design__instance__count__setup_buffer,14
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,8605
global_route__wirelength,66738
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1166
route__net__special,2
route__drc_errors__iter:0,218
route__wirelength__iter:0,41656
route__drc_errors__iter:1,41
route__wirelength__iter:1,41121
route__drc_errors__iter:2,24
route__wirelength__iter:2,41002
route__drc_errors__iter:3,0
route__wirelength__iter:3,40987
route__drc_errors,0
route__wirelength,40987
route__vias,7446
route__vias__singlecut,7446
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,546.4
design__instance__count__class:fill_cell,2422
design__instance__area__class:fill_cell,73728
timing__unannotated_net__count__corner:nom_tt_025C_3v30,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,20
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
