Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,9622
design__instance__area,223686
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,129
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,31
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.009577629156410694
power__switching__total,0.0028430838137865067
power__leakage__total,4.833677280657867E-7
power__total,0.012421196326613426
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.33415701707045664
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.30258738038318017
timing__hold__ws__corner:nom_tt_025C_3v30,0.4429656766770669
timing__setup__ws__corner:nom_tt_025C_3v30,4.398993294141719
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.442966
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,4.398993
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,709
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,31
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.4048496930066717
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.34771228547298666
timing__hold__ws__corner:nom_ss_125C_3v00,1.1754233474801656
timing__setup__ws__corner:nom_ss_125C_3v00,-5.37859372264341
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-186.18975688224498
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-5.37859372264341
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.175423
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,144
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-5.378594
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,144
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,31
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.3063799023425596
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2824674740726834
timing__hold__ws__corner:nom_ff_n40C_3v60,0.1302815669999075
timing__setup__ws__corner:nom_ff_n40C_3v60,5.3098353883377065
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.130282
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,6.564186
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,774
design__max_fanout_violation__count,31
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.30092415522295
clock__skew__worst_setup,0.27795674881836185
timing__hold__ws,0.12971490915211267
timing__setup__ws,-6.123119962154717
timing__hold__tns,0.0
timing__setup__tns,-252.76234087866828
timing__hold__wns,0
timing__setup__wns,-6.123119962154717
timing__hold_vio__count,0
timing__hold_r2r__ws,0.129715
timing__hold_r2r_vio__count,0
timing__setup_vio__count,428
timing__setup_r2r__ws,-6.123120
timing__setup_r2r_vio__count,428
design__die__bbox,0.0 0.0 711.2 325.36
design__core__bbox,3.36 3.92 707.84 321.44
design__io,45
design__die__area,231396
design__core__area,223686
design__instance__count__stdcell,4571
design__instance__area__stdcell,106992
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.478312
design__instance__utilization__stdcell,0.478312
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,101898
design__sites:GF018hv5v_mcu_sc7,101898
design__instance__count__class:tie_cell,17
design__instance__area__class:tie_cell,149.274
design__instance__count__class:buffer,24
design__instance__area__class:buffer,351.232
design__instance__count__class:inverter,73
design__instance__area__class:inverter,720.026
design__instance__count__class:sequential_cell,527
design__instance__area__class:sequential_cell,39526.8
design__instance__count__class:multi_input_combinational_cell,1581
design__instance__area__class:multi_input_combinational_cell,41223.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,1454
design__instance__area__class:tap_cell,6383.64
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1970.42
design__instance__displacement__mean,0.431
design__instance__displacement__max,23.52
route__wirelength__estimated,128272
design__violations,0
design__instance__count__class:timing_repair_buffer,669
design__instance__area__class:timing_repair_buffer,14958.1
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,2704.49
design__instance__count__class:clock_inverter,15
design__instance__area__class:clock_inverter,263.424
design__instance__count__setup_buffer,24
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,23987
global_route__wirelength,219231
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2947
route__net__special,2
route__drc_errors__iter:0,581
route__wirelength__iter:0,142923
route__drc_errors__iter:1,129
route__wirelength__iter:1,141762
route__drc_errors__iter:2,94
route__wirelength__iter:2,141669
route__drc_errors__iter:3,0
route__wirelength__iter:3,141475
route__drc_errors,0
route__wirelength,141475
route__vias,20301
route__vias__singlecut,20301
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,516.16
design__instance__count__class:fill_cell,5051
design__instance__area__class:fill_cell,116695
timing__unannotated_net__count__corner:nom_tt_025C_3v30,43
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,43
