Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,6105
design__instance__area,107931
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,91
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,25
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.004057182930409908
power__switching__total,0.0015346676809713244
power__leakage__total,3.442286526933458E-7
power__total,0.005592194851487875
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3219176960562323
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.3086375409269852
timing__hold__ws__corner:nom_tt_025C_3v30,0.7431464542972793
timing__setup__ws__corner:nom_tt_025C_3v30,13.221006885714417
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.743146
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,17.865410
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,493
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,25
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3826991887267063
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.36029266701002166
timing__hold__ws__corner:nom_ss_125C_3v00,1.7616548718419567
timing__setup__ws__corner:nom_ss_125C_3v00,-5.6154833483750055
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-64.40382276443543
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-5.6154833483750055
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.761655
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,18
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-5.615483
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,17
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,11
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,25
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.29381650721828173
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.28527100933375626
timing__hold__ws__corner:nom_ff_n40C_3v60,0.3151586858467322
timing__setup__ws__corner:nom_ff_n40C_3v60,17.604100009336975
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.315159
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,30.171890
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,548
design__max_fanout_violation__count,25
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.28770428520564495
clock__skew__worst_setup,0.2811297663124796
timing__hold__ws,0.31087833187653563
timing__setup__ws,-7.172268315599555
timing__hold__tns,0.0
timing__setup__tns,-90.15866708396251
timing__hold__wns,0
timing__setup__wns,-7.172268315599555
timing__hold_vio__count,0
timing__hold_r2r__ws,0.310878
timing__hold_r2r_vio__count,0
timing__setup_vio__count,52
timing__setup_r2r__ws,-7.172268
timing__setup_r2r_vio__count,49
design__die__bbox,0.0 0.0 346.64 325.36
design__core__bbox,3.36 3.92 343.28 321.44
design__io,45
design__die__area,112783
design__core__area,107931
design__instance__count__stdcell,3317
design__instance__area__stdcell,83670
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.775215
design__instance__utilization__stdcell,0.775215
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,49167
design__sites:GF018hv5v_mcu_sc7,49167
design__instance__count__class:tie_cell,15
design__instance__area__class:tie_cell,131.712
design__instance__count__class:buffer,7
design__instance__area__class:buffer,122.931
design__instance__count__class:inverter,103
design__instance__area__class:inverter,939.546
design__instance__count__class:sequential_cell,387
design__instance__area__class:sequential_cell,29266.4
design__instance__count__class:multi_input_combinational_cell,1376
design__instance__area__class:multi_input_combinational_cell,35744.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,705
design__instance__area__class:tap_cell,3095.23
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,23.52
design__instance__displacement__mean,0.007
design__instance__displacement__max,4.48
route__wirelength__estimated,115237
design__violations,0
design__instance__count__class:timing_repair_buffer,507
design__instance__area__class:timing_repair_buffer,10998
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,44
design__instance__area__class:clock_buffer,2458.62
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,201.958
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,19948
global_route__wirelength,190587
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2445
route__net__special,2
route__drc_errors__iter:0,722
route__wirelength__iter:0,128205
route__drc_errors__iter:1,217
route__wirelength__iter:1,127224
route__drc_errors__iter:2,186
route__wirelength__iter:2,127078
route__drc_errors__iter:3,3
route__wirelength__iter:3,126936
route__drc_errors__iter:4,1
route__wirelength__iter:4,126940
route__drc_errors__iter:5,1
route__wirelength__iter:5,126940
route__drc_errors__iter:6,0
route__wirelength__iter:6,126945
route__drc_errors,0
route__wirelength,126945
route__vias,17481
route__vias__singlecut,17481
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,507.25
design__instance__count__class:fill_cell,2788
design__instance__area__class:fill_cell,24261.4
