Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2948
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,22
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,12
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.0042429533787071705
power__switching__total,0.0012967046350240707
power__leakage__total,1.6886268383586867E-7
power__total,0.005539827048778534
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.3002112809986767
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.29745959315432025
timing__hold__ws__corner:nom_tt_025C_3v30,0.6924374603025869
timing__setup__ws__corner:nom_tt_025C_3v30,7.282375797403832
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.692437
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.566141
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,199
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,12
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.3409417011881274
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.3370463725737602
timing__hold__ws__corner:nom_ss_125C_3v00,1.6676636099635413
timing__setup__ws__corner:nom_ss_125C_3v00,-3.2265000473510135
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-47.477124020464075
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-3.2265000473510135
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.667664
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,37
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-3.226500
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,32
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,12
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.2815887325238401
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.27948219529733936
timing__hold__ws__corner:nom_ff_n40C_3v60,0.2832439918336433
timing__setup__ws__corner:nom_ff_n40C_3v60,10.209299472566332
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.283244
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,13.230917
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,215
design__max_fanout_violation__count,12
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27699651689720634
clock__skew__worst_setup,0.2754666295260047
timing__hold__ws,0.2754553330064097
timing__setup__ws,-3.9705164724349933
timing__hold__tns,0.0
timing__setup__tns,-68.36209303247325
timing__hold__wns,0
timing__setup__wns,-3.9705164724349933
timing__hold_vio__count,0
timing__hold_r2r__ws,0.275455
timing__hold_r2r_vio__count,0
timing__setup_vio__count,111
timing__setup_r2r__ws,-3.970516
timing__setup_r2r_vio__count,94
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1664
design__instance__area__stdcell,41094.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.790774
design__instance__utilization__stdcell,0.790774
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,10
design__instance__area__class:tie_cell,87.808
design__instance__count__class:buffer,9
design__instance__area__class:buffer,158.054
design__instance__count__class:inverter,83
design__instance__area__class:inverter,755.149
design__instance__count__class:sequential_cell,218
design__instance__area__class:sequential_cell,16442
design__instance__count__class:multi_input_combinational_cell,707
design__instance__area__class:multi_input_combinational_cell,16363
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,540.421
design__instance__displacement__mean,0.3245
design__instance__displacement__max,66.08
route__wirelength__estimated,54829.7
design__violations,0
design__instance__count__class:timing_repair_buffer,186
design__instance__area__class:timing_repair_buffer,4175.27
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,21
design__instance__area__class:clock_buffer,1159.07
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,83.4176
design__instance__count__setup_buffer,2
design__instance__count__hold_buffer,0
global_route__vias,10058
global_route__wirelength,90308
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1247
route__net__special,2
route__drc_errors__iter:0,236
route__wirelength__iter:0,59912
route__drc_errors__iter:1,77
route__wirelength__iter:1,59462
route__drc_errors__iter:2,101
route__wirelength__iter:2,59392
route__drc_errors__iter:3,2
route__wirelength__iter:3,59355
route__drc_errors__iter:4,0
route__wirelength__iter:4,59358
route__drc_errors,0
route__wirelength,59358
route__vias,8645
route__vias__singlecut,8645
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,502.06
design__instance__count__class:fill_cell,1284
design__instance__area__class:fill_cell,10872.8
timing__unannotated_net__count__corner:nom_tt_025C_3v30,18
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
