Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,13
design__inferred_latch__count,0
design__instance__count,2937
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.0024868822656571865
power__switching__total,0.0009590453701093793
power__leakage__total,1.3279604615945573E-7
power__total,0.0034460602328181267
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.26698330413261656
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.27087030607406365
timing__hold__ws__corner:nom_tt_025C_3v30,0.996631028136494
timing__setup__ws__corner:nom_tt_025C_3v30,6.577235831028048
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.996631
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,6.577236
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,129
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.28516320667501627
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.2895983257392226
timing__hold__ws__corner:nom_ss_125C_3v00,2.2730942216331624
timing__setup__ws__corner:nom_ss_125C_3v00,-6.966845075811026
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-69.79920128332904
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-6.966845075811026
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.273094
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,34
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-6.966845
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,16
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.259586998133382
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2625128244640759
timing__hold__ws__corner:nom_ff_n40C_3v60,0.45448146532568007
timing__setup__ws__corner:nom_ff_n40C_3v60,10.995321409019608
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.454481
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,12.715825
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,189
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.25833433345926965
clock__skew__worst_setup,0.26075667363405647
timing__hold__ws,0.4519938995463518
timing__setup__ws,-7.35606263389984
timing__hold__tns,0.0
timing__setup__tns,-80.92662768969576
timing__hold__wns,0
timing__setup__wns,-7.35606263389984
timing__hold_vio__count,0
timing__hold_r2r__ws,0.451994
timing__hold_r2r_vio__count,0
timing__setup_vio__count,108
timing__setup_r2r__ws,-7.356062
timing__setup_r2r_vio__count,53
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1392
design__instance__area__stdcell,27268.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.524733
design__instance__utilization__stdcell,0.524733
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,15
design__instance__area__class:tie_cell,131.712
design__instance__count__class:buffer,1
design__instance__area__class:buffer,17.5616
design__instance__count__class:inverter,86
design__instance__area__class:inverter,842.957
design__instance__count__class:sequential_cell,110
design__instance__area__class:sequential_cell,7233.18
design__instance__count__class:multi_input_combinational_cell,631
design__instance__area__class:multi_input_combinational_cell,13173.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,615.768
design__instance__displacement__mean,0.442
design__instance__displacement__max,17.92
route__wirelength__estimated,28735.5
design__violations,0
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,2941.57
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,19
design__instance__area__class:clock_buffer,1058.09
design__instance__count__setup_buffer,9
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,6457
global_route__wirelength,49039
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,983
route__net__special,2
route__drc_errors__iter:0,105
route__wirelength__iter:0,30420
route__drc_errors__iter:1,21
route__wirelength__iter:1,30091
route__drc_errors__iter:2,10
route__wirelength__iter:2,30059
route__drc_errors__iter:3,0
route__wirelength__iter:3,30051
route__drc_errors,0
route__wirelength,30051
route__vias,5560
route__vias__singlecut,5560
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,543.04
design__instance__count__class:fill_cell,1545
design__instance__area__class:fill_cell,24698.2
timing__unannotated_net__count__corner:nom_tt_025C_3v30,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,7
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
