Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,613
design__inferred_latch__count,0
design__instance__count,3232
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.007263984996825457
power__switching__total,0.0031985498499125242
power__leakage__total,1.742351116718055E-7
power__total,0.01046270877122879
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2797430977155051
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2735306225609093
timing__hold__ws__corner:nom_tt_025C_3v30,1.0012405632428016
timing__setup__ws__corner:nom_tt_025C_3v30,7.317665791551846
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.001241
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,9.124463
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,125
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.30101741395965603
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.29458589179610667
timing__hold__ws__corner:nom_ss_125C_3v00,2.2744717864010777
timing__setup__ws__corner:nom_ss_125C_3v00,-2.0129622982683073
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-60.26148639549321
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-2.0129622982683073
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.274472
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,73
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-2.012962
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,55
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.270548507921275
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.26636052450933967
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4576630315373292
timing__setup__ws__corner:nom_ff_n40C_3v60,9.723672808827695
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.457663
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,152
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2681073494656885
clock__skew__worst_setup,0.2644694260668605
timing__hold__ws,0.45400673394692403
timing__setup__ws,-2.430903547262584
timing__hold__tns,0.0
timing__setup__tns,-91.40435511639079
timing__hold__wns,0
timing__setup__wns,-2.430903547262584
timing__hold_vio__count,0
timing__hold_r2r__ws,0.454007
timing__hold_r2r_vio__count,0
timing__setup_vio__count,215
timing__setup_r2r__ws,-2.430903
timing__setup_r2r_vio__count,163
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1898
design__instance__area__stdcell,41954.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.807333
design__instance__utilization__stdcell,0.807333
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,20
design__instance__area__class:tie_cell,175.616
design__instance__count__class:buffer,4
design__instance__area__class:buffer,70.2464
design__instance__count__class:inverter,130
design__instance__area__class:inverter,1172.24
design__instance__count__class:sequential_cell,191
design__instance__area__class:sequential_cell,12286.5
design__instance__count__class:multi_input_combinational_cell,944
design__instance__area__class:multi_input_combinational_cell,18362.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1583.72
design__instance__displacement__mean,0.834
design__instance__displacement__max,24.08
route__wirelength__estimated,44930
design__violations,0
design__instance__count__class:timing_repair_buffer,133
design__instance__area__class:timing_repair_buffer,3464.03
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,50
design__instance__area__class:clock_buffer,4552.84
design__instance__count__setup_buffer,8
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,10299
global_route__wirelength,78447
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1490
route__net__special,2
route__drc_errors__iter:0,221
route__wirelength__iter:0,47166
route__drc_errors__iter:1,44
route__wirelength__iter:1,46687
route__drc_errors__iter:2,48
route__wirelength__iter:2,46624
route__drc_errors__iter:3,1
route__wirelength__iter:3,46638
route__drc_errors__iter:4,0
route__wirelength__iter:4,46642
route__drc_errors,0
route__wirelength,46642
route__vias,9030
route__vias__singlecut,9030
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,669.9
design__instance__count__class:fill_cell,1334
design__instance__area__class:fill_cell,10012.3
timing__unannotated_net__count__corner:nom_tt_025C_3v30,13
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
