Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,3379
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,22
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,1
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.001080675981938839
power__switching__total,0.00041990933823399246
power__leakage__total,1.5651497164981265E-7
power__total,0.0015007418114691973
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.2799598132560411
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2799598132560411
timing__hold__ws__corner:nom_tt_025C_3v30,1.0419129187664222
timing__setup__ws__corner:nom_tt_025C_3v30,16.73285024567571
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,1.041913
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,26.228222
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,256
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,1
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.30581180120479184
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.30581180120479184
timing__hold__ws__corner:nom_ss_125C_3v00,2.3536735449055803
timing__setup__ws__corner:nom_ss_125C_3v00,-3.6596930965997307
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-18.45278826414294
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-3.6596930965997307
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,2.353673
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,6
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-3.659693
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,6
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,1
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.26849326299996257
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.27337213821966183
timing__hold__ws__corner:nom_ff_n40C_3v60,0.4815740165172325
timing__setup__ws__corner:nom_ff_n40C_3v60,23.145596316901624
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.481574
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,37.174778
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,328
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2663620233104653
clock__skew__worst_setup,0.27064781737363636
timing__hold__ws,0.47721028479552857
timing__setup__ws,-4.460798079402931
timing__hold__tns,0.0
timing__setup__tns,-23.336988113618894
timing__hold__wns,0
timing__setup__wns,-4.460798079402931
timing__hold_vio__count,0
timing__hold_r2r__ws,0.477210
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,-4.460798
timing__setup_r2r_vio__count,18
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1646
design__instance__area__stdcell,32414.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.623749
design__instance__utilization__stdcell,0.623749
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,16
design__instance__area__class:tie_cell,140.493
design__instance__count__class:buffer,2
design__instance__area__class:buffer,35.1232
design__instance__count__class:inverter,51
design__instance__area__class:inverter,469.773
design__instance__count__class:sequential_cell,93
design__instance__area__class:sequential_cell,6052.17
design__instance__count__class:multi_input_combinational_cell,921
design__instance__area__class:multi_input_combinational_cell,19965.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,98.56
design__instance__displacement__mean,0.0595
design__instance__displacement__max,7.84
route__wirelength__estimated,41754
design__violations,0
design__instance__count__class:timing_repair_buffer,117
design__instance__area__class:timing_repair_buffer,2805.47
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,20
design__instance__area__class:clock_buffer,1075.65
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,9050
global_route__wirelength,73676
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1236
route__net__special,2
route__drc_errors__iter:0,192
route__wirelength__iter:0,46695
route__drc_errors__iter:1,70
route__wirelength__iter:1,46259
route__drc_errors__iter:2,65
route__wirelength__iter:2,46102
route__drc_errors__iter:3,0
route__wirelength__iter:3,46016
route__drc_errors,0
route__wirelength,46016
route__vias,7981
route__vias__singlecut,7981
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,507.05
design__instance__count__class:fill_cell,1733
design__instance__area__class:fill_cell,19552.6
timing__unannotated_net__count__corner:nom_tt_025C_3v30,12
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,12
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
